id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,2016-2017,DE,19940,Regular School,High,No,-0.06373679561016374,-0.12176601059795256,-1.0205405659285167,245,67
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,2016-2017,DE,19945,Regular School,High,No,0.19891636082082234,-0.6519650774236578,-0.453073520259432,243,26
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,2016-2017,DE,19947,Regular School,High,No,-0.7625611733923077,-0.9540302372683891,0.1560248355414674,265,74
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,2016-2017,DE,19943,Regular School,High,No,0.7620006326902673,-0.24572590036726186,-0.08809113558528082,284,109
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,2016-2017,DE,19956,Regular School,High,No,-0.3128205497491509,-0.8597091360984628,0.2349402336865578,232,79
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,2016-2017,DE,19963,Regular School,High,No,-0.05796119918999867,-1.6339081768389039,-0.23864092463461165,393,98
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,2016-2017,DE,19803,Regular School,High,No,-0.6138124142472655,1.7172569674977796,-0.4741978960971265,540,52
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,2016-2017,DE,19809,Regular School,High,No,-1.1053466857493215,1.3065448714951746,-0.5405104231938362,440,131
100124000247,0.0657681940700809,0.719058823529412,0.710382513661202,86429.0,18.970695970696,0.165605095541401,2016-2017,DE,19810,Regular School,High,No,-0.5424089182598517,0.8856344114756439,-1.04559761057175,480,60
100130000274,0.0820209973753281,0.826745718050066,0.66328125,95065.0,15.5714285714286,0.447880870561283,2016-2017,DE,19808,Regular School,High,No,-0.25514042465632525,1.538621531784954,0.1594934161248866,569,103
100130000276,0.0280373831775701,0.811893203883495,0.835630965005302,151750.0,18.7704517704518,0.302702702702703,2016-2017,DE,19807,Regular School,High,No,-1.2093014539021054,1.4485595005772258,-0.4603008518965547,802,165
